Rk,School,Year,SRS,SOS,Tm.,Opp.,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
319,UC Davis,2025,-6.14,-1.24,68,70.3,23,55.8,0.413,6.34,19.5,0.325,15.6,20.9,0.743,10.2,33,11.1,7.88,3.59,13.3,18
320,UC Irvine,2025,7.85,-1.21,75.9,66.2,26,57.1,0.455,6.97,19.8,0.352,17,21.1,0.806,9.32,38.1,15.9,6.79,3.47,12.8,15.4
321,UC Riverside,2025,-1.22,0.62,74.8,75,26.6,62.3,0.426,9,26.7,0.337,12.6,16.7,0.756,12.4,37.2,13.2,5.47,2.41,11.2,18
322,UC San Diego NCAA,2025,12.76,-2.34,79.8,61.6,27.4,58.7,0.466,10.8,29.6,0.366,14.2,19.1,0.746,9.09,33.9,15.9,9.94,2.18,8.74,16.4
323,UC Santa Barbara,2025,0.51,-3.27,74.3,68.8,25.7,55.6,0.463,10,26.3,0.381,12.9,16.8,0.764,8.91,33.9,14.9,6.03,3.12,12.2,16.8
324,UCF,2025,10.71,11.53,79.3,80.1,26.5,62.5,0.424,8.67,25.8,0.336,17.6,22.7,0.777,12.3,36.8,14.1,7.82,4.48,12.7,17.2
325,UCLA NCAA,2025,19.22,10.19,74.8,65.7,27,57.9,0.466,7.34,20.9,0.352,13.4,19.1,0.703,10.8,32.7,16.3,8.09,3,10.6,17.4
326,UNC Asheville,2025,-5.1,-4.45,82.2,76.6,29.4,62.3,0.473,7.97,22.9,0.348,15.3,21.4,0.716,11.3,35.2,14,7.5,4.19,10.4,19.3
327,UNC Greensboro,2025,-0.84,-3.98,72.9,65.4,25.6,57.8,0.442,9.19,24.7,0.372,12.6,17.1,0.735,10.9,36.7,13,6,2.84,9.88,16.2
328,UNC Wilmington NCAA,2025,2.33,-4.48,79.4,69.9,27.8,58.9,0.472,7.29,21.5,0.339,16.5,22.1,0.748,12.5,38.7,15.2,6.53,3.5,10.9,16.6
329,UT Arlington,2025,-5.2,-2.48,74.3,74.8,25.8,57.8,0.446,8.68,24.5,0.354,14,21.2,0.661,11.6,36.5,14.1,5.94,3.19,13.5,18
330,Utah,2025,11.95,8.86,75.3,72.2,26.4,59.3,0.446,8.47,26,0.326,14,21.9,0.639,12.8,39.8,17.5,6.38,3.66,12.5,18.5
331,Utah State NCAA,2025,14.25,5,80.9,70,28.3,57.9,0.49,8.97,24.6,0.365,15.2,21.7,0.703,11.5,34.6,17.4,8.64,2.79,10.7,18.4
332,Utah Tech,2025,-9.93,-1.29,69.8,76,24.5,57.8,0.425,7.45,22.4,0.333,13.3,19.2,0.695,10.1,33,12.7,6.45,3.21,12.6,19.2
333,Utah Valley,2025,2.32,-3.36,76.2,68,26.9,57.3,0.47,6.09,17.9,0.34,16.3,23.6,0.689,10.9,38.2,15.8,6.58,5.76,12.2,16.4
334,UTEP,2025,-0.21,0.75,72.5,70.8,25,56.9,0.439,7.3,20.8,0.351,15.2,21.2,0.715,8.94,31.2,13.2,10.2,3,11.8,18.1
335,UTSA,2025,-2.33,0.74,76.7,76.8,26.3,62.2,0.423,9.94,27.5,0.361,14.1,17.8,0.792,10.7,32.4,12.7,9.48,3.45,10.9,18.2
336,Valparaiso,2025,-2.84,-0.05,74.7,73.9,25.7,60.1,0.427,7.74,23,0.336,15.6,19.7,0.79,10,34.5,12,5.85,3.74,9.74,16.4
337,Vanderbilt NCAA,2025,15.04,10.19,79.6,74.8,27.9,61.8,0.451,8.09,24.9,0.325,15.7,21,0.747,11.7,34.9,14,9.03,3.97,10.4,18
338,Vermont,2025,-7.81,-7.36,66.6,63.8,23.5,54.2,0.434,7.76,23.5,0.33,11.8,16.5,0.72,8.82,34.1,12.1,5.58,4.45,11.2,13.7
339,Villanova,2025,13.3,7.42,73.4,67.5,25.5,55.2,0.462,9.58,24.1,0.398,12.8,15.9,0.8,9.3,33.8,12.5,5.67,2.3,9.94,15.5
340,Virginia,2025,6.11,8.11,64.8,66.8,23.1,51.8,0.446,8.31,22.2,0.375,10.3,13.7,0.753,6.75,29.3,14.7,5.5,3.75,10.1,15.3
